index,question,answer1,answer2,answer3,answer4,read1,read2,read3,read4
CDI-1,"根据您最近两周的实际感觉,从下面三个答案中选择",我偶尔感到不高兴,我经常感到不高兴,我总是感到不高兴,此处为空,我偶尔感到不高兴,我经常感到不高兴,我总是感到不高兴,此处为空
CDI-2,"根据您最近两周的实际感觉,从下面三个答案中选择",我不能解决任何问题,我能解决遇到的部分问题,我能解决遇到的任何问题,此处为空,我不能解决任何问题,我能解决遇到的部分问题,我能解决遇到的任何问题,此处为空
CDI-3,"根据您最近两周的实际感觉,从下面三个答案中选择",我做任何事情都不会出错,我做事情偶尔出错,我做事情经常出错,此处为空,我做任何事情都不会出错,我做事情偶尔出错,我做事情经常出错,此处为空
CDI-4,"根据您最近两周的实际感觉,从下面三个答案中选择",我做许多事情都有乐趣,我做事情偶尔有乐趣,我做任何事情都没有乐趣,此处为空,我做许多事情都有乐趣,我做事情偶尔有乐趣,我做任何事情都没有乐趣,此处为空
CDI-5,"根据您最近两周的实际感觉,从下面三个答案中选择",我的表现一直都像个坏孩子,我的表现经常像个坏孩子,我的表现偶尔像个坏孩子,此处为空,我的表现一直都像个坏孩子,我的表现经常像个坏孩子,我的表现偶尔像个坏孩子,此处为空
CDI-6,"根据您最近两周的实际感觉,从下面三个答案中选择",我偶尔担心不好的事情发生,我经常担心不好的事情发生,我总是担心不好的事情发生,此处为空,我偶尔担心不好的事情发生,我经常担心不好的事情发生,我总是担心不好的事情发生,此处为空
CDI-7,"根据您最近两周的实际感觉,从下面三个答案中选择",我厌恶我自己,我不喜欢我自己,我喜欢我自己,此处为空,我厌恶我自己,我不喜欢我自己,我喜欢我自己,此处为空
CDI-8,"根据您最近两周的实际感觉,从下面三个答案中选择",所有不好的事情都是我的错,许多不好的事情都是我的错,少数不好的事情是我的错,此处为空,所有不好的事情都是我的错,许多不好的事情都是我的错,少数不好的事情是我的错,此处为空
CDI-9,"根据您最近两周的实际感觉,从下面三个答案中选择",我非常喜欢周边世界,我有过去其他地方的想法,我可能会离开这个地方,此处为空,我非常喜欢周边世界,我有过去其他地方的想法,我可能会离开这个地方,此处为空
CDI-10,"根据您最近两周的实际感觉,从下面三个答案中选择",我每天都感觉想哭,我经常感觉想哭,我偶尔感觉想哭,此处为空,我每天都感觉想哭,我经常感觉想哭,我偶尔感觉想哭,此处为空
CDI-11,"根据您最近两周的实际感觉,从下面三个答案中选择",总是有事情干扰我,经常有事情干扰我,偶尔有事情干扰我,此处为空,总是有事情干扰我,经常有事情干扰我,偶尔有事情干扰我,此处为空
CDI-12,"根据您最近两周的实际感觉,从下面三个答案中选择",我喜欢和别人在一起,我经常不喜欢和别人在一起,我总是不喜欢和别人在一起,此处为空,我喜欢和别人在一起,我经常不喜欢和别人在一起,我总是不喜欢和别人在一起,此处为空
CDI-13,"根据您最近两周的实际感觉,从下面三个答案中选择",我遇到事情总是拿不定主意,我遇到事情经常拿不定主意,我遇到事情很容易拿定主意,此处为空,我遇到事情总是拿不定主意,我遇到事情经常拿不定主意,我遇到事情很容易拿定主意,此处为空
CDI-14,"根据您最近两周的实际感觉,从下面三个答案中选择",我长得很好看,我在长相上有些不如意,我长得很丑,此处为空,我长得很好看,我在长相上有些不如意,我长得很丑,此处为空
CDI-15,"根据您最近两周的实际感觉,从下面三个答案中选择",我总是强迫自己去做作业,我经常强迫自己去做作业,我很容易完成作业,此处为空,我总是强迫自己去做作业,我经常强迫自己去做作业,我很容易完成作业,此处为空
CDI-16,"根据您最近两周的实际感觉,从下面三个答案中选择",我每天晚上很难睡着觉,我经常晚上睡不着觉,我睡觉很好,此处为空,我每天晚上很难睡着觉,我经常晚上睡不着觉,我睡觉很好,此处为空
CDI-17,"根据您最近两周的实际感觉,从下面三个答案中选择",我偶尔感到疲倦,我经常感到疲倦,我总是感到疲倦,此处为空,我偶尔感到疲倦,我经常感到疲倦,我总是感到疲倦,此处为空
CDI-18,"根据您最近两周的实际感觉,从下面三个答案中选择",我总是感到不想吃东西,我经常感到不想吃东西,我胃口很好,此处为空,我总是感到不想吃东西,我经常感到不想吃东西,我胃口很好,此处为空
