index,question
PLE-B1,您熟悉的地方，比如您的卧室、家里的其他房间、教室或学校院子，是否突然变得奇怪或令人困惑；不像现实世界？
PLE-B2,您有没有在耳朵里听到过以前从未注意到的奇怪声音，比如砰砰、咔嗒、嘶嘶、拍手或叮当？
PLE-B3,您看到的东西看起来和平时不一样了吗；就像它们看起来更亮还是更暗，更大还是更小，或者以其他方式发生了变化？
PLE-B4,您是否觉得自己拥有特殊的、不同寻常的力量——比如您可以用魔法让事情发生，或者您可以神奇地知道别人的想法，或者神奇地知道其他人做不到的时候，未来会发生什么？
PLE-B5,您有没有感觉到别人，而不是您，已经控制了您头脑中的个人想法？
PLE-B6,您是否突然发现很难想出如何快速轻松地说出一些东西，让别人理解您的意思？
PLE-B7,您有没有非常确定自己拥有其他人所没有的非常特殊的能力或神奇的天赋？
PLE-B8,您是否突然觉得您不能信任别人，因为他们似乎在以不友好的方式看着您或谈论您？
PLE-B9,您的皮肤或皮肤下面突然开始感到奇怪，就像虫子在爬一样吗？
PLE-B10,您是否因为注意到远处通常听不到的声音而注意力不集中？
PLE-B11,虽然您看不到任何东西或任何人，但您是否突然开始感觉到一种看不见的能量、生物或某人就在您身边？
PLE-B12,您有没有开始担心自己的大脑在欺骗您，或者工作不正常？
PLE-B13,您有没有觉得这个世界不是真实的，您不是真实的或者您已经死了？
PLE-B14,您是否感到困惑，是因为您所经历的事情看起来并不真实，还是您觉得它很神奇？
PLE-B15,您真的相信别人会说的不寻常或奇怪的事情吗？
PLE-B16,您是否觉得您身体的某些部位突然发生了变化或工作方式与以前不同；就像您的腿突然转向了别的方向，或者您的鼻子突然闻到了您以前从未真正闻到的东西？
PLE-B17,您有没有觉得有时候您的想法太强烈，您几乎可以听到，就好像是另一个人说的，而不是您？
PLE-B18,您是否觉得其他人可能希望您发生不好的事情，或者您不能信任其他人？
PLE-B19,您是否突然开始看到以前从未见过的不寻常的东西，比如闪光、火焰、闪光或漂浮在您面前的形状？
PLE-B20,您是否突然开始能够看到别人看不到的东西？
PLE-B21,您是否突然注意到，人们开始很难理解您在说什么，尽管他们过去都很理解您？
PLE-BD1,如有PLE-B1，对您的影响程度
PLE-BD2,如有PLE-B2，对您的影响程度
PLE-BD3,如有PLE-B3，对您的影响程度
PLE-BD4,如有PLE-B4，对您的影响程度
PLE-BD5,如有PLE-B5，对您的影响程度
PLE-BD6,如有PLE-B6，对您的影响程度
PLE-BD7,如有PLE-B7，对您的影响程度
PLE-BD8,如有PLE-B8，对您的影响程度
PLE-BD9,如有PLE-B9，对您的影响程度
PLE-BD10,如有PLE-B10，对您的影响程度
PLE-BD11,如有PLE-B11，对您的影响程度
PLE-BD12,如有PLE-B12，对您的影响程度
PLE-BD13,如有PLE-B13，对您的影响程度
PLE-BD14,如有PLE-B14，对您的影响程度
PLE-BD15,如有PLE-B15，对您的影响程度
PLE-BD16,如有PLE-B16，对您的影响程度
PLE-BD17,如有PLE-B17，对您的影响程度
PLE-BD18,如有PLE-B18，对您的影响程度
PLE-BD19,如有PLE-B19，对您的影响程度
PLE-BD20,如有PLE-B20，对您的影响程度
PLE-BD21,如有PLE-B21，对您的影响程度
